一      いち        one
一つ    ひとつ      one thing
二      に          two
二つ    ふたつ      two things
十      じゅう      ten
十      とう        ten things
日      にち,か     day
一日    いちにち    one day
一日    ついたち    first day of the month
二日    ふつか      second day of the month
十日    とうか      tenth day of the month
二十日  はつか      twentieth day of the month
七      なな,しち   seven
八      はち        eight
八つ    やっつ      eight things
九      きゅう      nine
九つ    ここのつ    nine things
三      さん        three
三つ    みっつ      three things
分      ふん        minutes
分かる  わかる      understand; be comprehensible
六      ろく        six
六つ    むっつ      six things
五      ご          five
五つ    いつつ      five things
四      し          four
四つ    よっつ      four things
本      ほん        book
日本    にほん      Japan

何      なに        what?
下さい  ください    please give me
千      せん        thousand
万      まん        ten thousand
円      えん        yen
百      ひゃく      hundred
作る    つくる      make
今      いま        now
今日    きょう      today
大きい  おおきい    big
小さい  ちいさい    small
古い    ふるい      old
時      じ,とき     (time)

二十    はたち      twenty years of age
行く    いく        go
人      ひと        person
女      おんな      woman
女の子  おんなのこ  girl
田      た          field
子      こ          child
曜      よう        day of the week
日曜日  にちようび  Sunday
火      か          (fire)
火曜日  かようび    Tuesday
土      ど          earth, soil
土曜日  どようび    Saturday
木      もく        tree, wood
木曜日  もくようび  Thursday
休み    やすみ      vacation; holiday; time off
男      おとこ      man
男の子  おとこのこ  boy
学      がく        study; learning
大学    だいがく    college, university

出る    でる       	attend; go out, leave; answer (a phone)
口      くち       	mouth
出口    でぐち     	exit
入り口  いりぐち   	entrance
毎      まい       	every (period of time)
毎日    まいにち   	every day
月      つき,げつ  	moon; month
毎月    まいげつ,まいつき   every month
月曜日  げつようび  Monday
一ヶ月  いっかげつ  one month
一月    いちがつ    January
何ヶ月  なんかげつ  how many months?
何月    なんがつ    what month?
今月    こんげつ    this month
来る    くる        come
来た    きた        came
来ない  こない      doesn't come, won't come
来月    らいげつ    next month
水      すい,みず   water
水曜日  すいようび  Wednesday
金      きん        gold; metal
金曜日  きんようび  Friday
知る    しる        know
生      せい        birth; life
学生    がくせい    student
先      さき        ahead
先生    せんせい    teacher; doctor
先月    せんげつ    last month
見る    みる        look at
見せる  みせる      show
見える  みえる      appear; be visible

一人    ひとり      one person
二人    ふたり      two people
三人    さんにん    three people
何人    なんにん    how many people?
何人    なにじん    what nationality?
大人    おとな      adult
間      あいだ      interval, space between
時間    じかん      time
一時間  いちじかん  one hour
週      しゅう      week
来週    らいしゅう  next week
毎週    まいしゅう  every week
今週    こんしゅう  this week
先週    せんしゅう  last week
一週間  いっしゅうかん    one week
待つ    まつ        wait, wait for
午      ご          noon
前      まえ        front; before
午前    ごぜん      morning, A.M.
後ろ    うしろ      back, rear
午後    ごご        afternoon, P.M.
年      とし        year
今年    ことし      this year
来年    らいねん    next year
毎年    まいとし,まいねん   every year
食べる  たべる      eat
方      かた        person (honorific)
方      ほう        direction; alternative
雨      あめ        rain
合う    あう        meet
社      しゃ        a company
会社    かいしゃ    a business company
思う    おもう      think
駅      えき        station
駅前    えきまえ    area in front of the station
名      な          (name)
名前    なまえ      name
朝      あさ        morning
毎朝    まいあさ    every morning
今朝    けさ        this morning
安い    やすい      cheap
私      わたし,わたくし I, me
父      ちち        father
お父さん    おとうさん  father (honorific)
母      はは        mother
お母さん    おかあさん  mother (honorific)
外      ほか        other, another
外人    がいじん    foreigner
困る    こまる      become distressed, annoyed, troubled
晩      ばん        night
今晩    こんばん    tonight
毎晩    まいばん    every night
旅      たび        travel
館      かん        building
旅館    りょかん    Japanese-style inn
会館    かいかん    assembly hall, clubhouse

東      とう        east
京      きょう      capital
東京    とうきょう  Tokyo
校      こう        (school)
学校    がっこう    school
高い    たかい      expensive, high
高校    こうこう    high school
兄      あに        older brother
お兄さん    おにいさん  older brother (honorific)
姉      あね        older sister
お姉さん    おねえさん  older sister (honorific)
書く    かく        write; draw
言う    いう        say
店      みせ        shop
半      はん        half
半時間  はんじかん  half hour
半日    はんにち    half day
半年    はんとし    half year
手      て          hand
手前    てまえ      this side (of something)
紙      かみ        paper
手紙    てがみ      letter
白      しろ        white

話す    はなす      talk
話      はなし      a talk
電      でん        electricity
電話    でんわ      telephone
車      くるま      car
電車    でんしゃ    train
赤      あか        red
赤ちゃん    あかちゃん  baby
赤電話  あかでんわ  public (red) telephone
後ほど  のちほど    later
明      みょう      light, bright
明日    あした      tomorrow
明後日  みょうごにち    day after tomorrow
屋      や          dealer, seller; business establishment
本屋    ほんや      bookstore
名古屋  なごや      Nagoya
買う    かう        buy
友だち  ともだち    friend
参る    まいる      go; come (humble)
用事    ようじ      business, matter to attend to
火事    かじ        fire
仕事    しごと      work

