中        なか          inside
－中      ちゅう        in the midst of
使う      つかう        use
切る      きる          cut
大切      たいせつ      very important
字        じ            symbol
数        すう          (numbers)
数字      すうじ        numbers
弱い      よわい        weak
強い      つよい        strong
勉強      べんきょう    study
－語      ご            language
英語      えいご        English
系        けい          (descendant)
覚える    おぼえる      remember

地下      ちか          basement
地図      ちず          map
図書館    としょかん    library
－階      かい          floor
教える    おしえる      teach
近い      ちかい        near
読む      よむ          read
新しい    あたらしい    new
聞く      きく          listen, ask
聞こえる  きこえる      hear
飲む      のむ          drink, swallow
右        みぎ          right
左        ひだり        left
歩く      あるく        walk

便利      べんり        convenient
不便      ふべん        inconvenient
漢字      かんじ        kanji
教室      きょうしつ    classroom
図書室    としょしつ    library room
君        きみ          you (familiar, male)
－君      くん          familiar male suffix
本当      ほんとう      truth
頼む      たのむ        order, request
昼        ひる          noon, midday
飯        はん          meal
少し      すこし        a little
留守      るす          caretaker

同じ      おなじ        same
元気      げんき        health
病気      びょうき      sickness
病院      びょういん    hospital
大学院    だいがくいん  graduate school
去年      きょねん      last year
色        いろ          color
茶        ちゃ          tea
茶色      ちゃいろ      brown
京都      きょうと      Kyoto
－才      さい          years of age
寺        てら          temple
天        てん          (sky)
天気      てんき        weather
天ぷら    てんぷら      fried food

声        こえ          voice
雪        ゆき          snow
存じる    ぞんじる      know; think
ご存知    ごぞんじ      know (honorific)
申す      もうす        say (humble)
国        くに          country
外国      がいこく      foreign country
中国      ちゅうごく    China
米        こめ          uncooked rice
米国      べいこく      U.S.A.
冷たい    つめたい      cold
願う      ねがう        request
酒        さけ          rice wine
酒屋      さかや        liquor store
号        ごう          number
号室      ごうしつ      classifier for room numbers
過ぎる    すぎる        exceed, go beyond
-過ぎ     -すぎ         past
全        ぜん          (entire)
全国      ぜんこく      the entire country
全部      ぜんぶ        all, the whole thing

番        ばん          number (in a series); classifier for numbers
一番      いちばん      number one
何番      なんばん      which number?
電話番号  でんわばんごう  telephone number
留守番    るすばん        caretaker
-様       -さま           (polite suffix)
お客様    おきゃくさま    guest
料        りょう          (materials)
理        り              (arrangement)
料理      りょうり        cooking
料理屋    りょうりや      restaurant
長い      ながい          long
部長      ぶちょう        division manager
社長      しゃちょう      company president
家        いえ,うち       house, home
内        うち            inside, within
家内      かない          one's own wife
主        しゅ            (chief)
主人      しゅじん        husband
好き      すき            like
花        はな            flower
花屋      はなや          florist
代わる    かわる          change, convert, substitute
代える    かえる          change (something)

