声        こえ          voice
雪        ゆき          snow
存じる    ぞんじる      know; think
ご存知    ごぞんじ      know (honorific)
申す      もうす        say (humble)
国        くに          country
外国      がいこく      foreign country
中国      ちゅうごく    China
米        こめ          uncooked rice
米国      べいこく      U.S.A.
冷たい    つめたい      cold
願う      ねがう        request
酒        さけ          rice wine
酒屋      さかや        liquor store
号        ごう          number
号室      ごうしつ      classifier for room numbers
過ぎる    すぎる        exceed, go beyond
-過ぎ     -すぎ         past
全        ぜん          (entire)
全国      ぜんこく      the entire country
全部      ぜんぶ        all, the whole thing

