食事            しょくじ            meal; dining
お大事に        おだいじに          treat yourself carefully; take care
次              つぎ                next
連れる          つれる              lead
借りる          かりる              borrow
銀              ぎん                silver
銀行            ぎんこう            bank
医              い                  (medicine)
医学            いがく              [the field of] medicine
医院            いいん              clinic
者              しゃ                (person)
医者            いしゃ              medical doctor
学者            がくしゃ            academic scholar
作者            さくしゃ            author
作家            さっか              writer, novelist
師              し                  (teacher)
医師            いし                doctor
教師            きょうし            teacher
員              いん                member
銀行員          ぎんこういん        bank employee
教員            きょういん          public school teacher
社員            しゃいん            low-ranking company employee
会社員          かいしゃいん        company employee
社員食堂        しゃいんしょくどう  employee cafeteria
公              こう                (public)
園              えん                garden
公園            こうえん            park
務              む                  (duties)
事務            じむ                clerical/secritarial work
事務員          じむいん            clerk
公務員          こうむいん          public employee
所              ところ,しょ         place
事務所          じむしょ            office
便所            べんじょ            lavatory
所長            しょちょう          institute director
