近所          こんじょ              neighborhood
上げる        あげる                raise; give
上            じょう                upper; top grade
上手          じょうず              skillful
下さる        くださる              (someone) gives (me)
下手          へた                  unskillful
僕            ぼく                  I (male)
着く          つく                  arrive
寄る          よる                  stop in
年寄り        としより              elderly
実            じつ                  real
実の母        じつのはは            blood mother
弟            おとうと              younger brother
兄弟          きょうだい            siblings
妹            いもうと              younger sister
貸す          かす                  lend
自            じ                    (self)
自分          じぶん                oneself
由            ゆう                  (reason; cause)
自由          じゆう                free (as in liberty)
不自由        ふじゆう              inconvenience; disability
自由時間      じゆうじかん          free time
業            ぎょう                (occupation)
自由業        じゆうぎょう          freelancer
サービス業    サービスぎょう        service industry
授            じゅ                  (give; grant)
授業          じゅぎょう            class
教授          きょうじゅ            professor
課            か                    section
課長          かちょう              section head
外国課        がいこくか            foreign section
何課          なんか                which section?

