部            ぶ,へ               part, portion; department
部屋          へや                room
一部屋        ひとへや            one room
いく部屋      いくへや            how many rooms?
上            うえ                up; top; above
上野公園      うえのこうえん      Ueno Park (in Ueno, in Tokyo)
下            した                down; bottom; below; under
外            そと                outside
林            はやし              woods
遠い          とおい              far
頂く          いただく            receive [from out-group]
目            め                  eye
早目          はやめ              on the early side
目医者        めいしゃ            eye doctor
足            あし                foot; leg
足りる        たりる              suffice
手足          てあし              arms and legs
歯            は                  tooth
歯医者        はいしゃ            dentist
歯ブラシ      はブラシ            tooth brush
研            けん                (study)
研究          けんきゅう          research
研究員        けんきゅういん      research personnel
研究者        けんきゅうしゃ      researcher
研究会        けんきゅうかい      research society
研究室        けんきゅうしつ      laboratory; professor's office
研究所        けんきゅうじょ      research institute
研究レポート  けんきゅうレポート  research report
頭            あたま              head
頭がいい      あたまがいい        is bright (as in intelligent)
窓            まど                window
窓口          まどぐち            teller's window, ticked window
道            みち                street; way
出す          だす                take out
外出          がいしゅつ          go out (of a house, office, etc.)
外出中        がいしゅつちゅう    out of the house, office, etc.
出社する      しゅっしゃする      go into the office of a company
決める        きめる              decide
決まる        きまる              become decided
