中        なか          inside
－中      ちゅう        in the midst of
使う      つかう        use
切る      きる          cut
大切      たいせつ      very important
字        じ            symbol
数        すう          (numbers)
数字      すうじ        numbers
弱い      よわい        weak
強い      つよい        strong
勉強      べんきょう    study
－語      ご            language
英語      えいご        English
系        けい          (descendant)
覚える    おぼえる      remember

地下      ちか          basement
地図      ちず          map
図書館    としょかん    library
－階      かい          floor
教える    おしえる      teach
近い      ちかい        near
読む      よむ          read
新しい    あたらしい    new
聞く      きく          listen, ask
聞こえる  きこえる      hear
飲む      のむ          drink, swallow
右        みぎ          right
左        ひだり        left
歩く      あるく        walk

便利      べんり        convenient
不便      ふべん        inconvenient
漢字      かんじ        kanji
教室      きょうしつ    classroom
図書室    としょしつ    library room
君        きみ          you (familiar, male)
－君      くん          familiar male suffix
本当      ほんとう      truth
頼む      たのむ        order, request
昼        ひる          noon, midday
飯        はん          meal
少し      すこし        a little
留守      るす          caretaker

同じ      おなじ        same
元気      げんき        health
病気      びょうき      sickness
病院      びょういん    hospital
大学院    だいがくいん  graduate school
去年      きょねん      last year
色        いろ          color
茶        ちゃ          tea
茶色      ちゃいろ      brown
京都      きょうと      Kyoto
－才      さい          years of age
寺        てら          temple
天        てん          (sky)
天気      てんき        weather
天ぷら    てんぷら      fried food
